Date,Country,Geography,Labour force characteristics,Sex,Age group,Statistics,Data type,UOM,SCALAR_FACTOR,Value
2013-01,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3117.7
2013-02,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3123.4
2013-03,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3131.2
2013-04,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3141.1
2013-05,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3148.7
2013-06,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3155.5
2013-07,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3163.7
2013-08,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3170.8
2013-09,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3179.0
2013-10,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3185.1
2013-11,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3190.6
2013-12,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3195.3
2014-01,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3201.0
2014-02,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3207.0
2014-03,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3214.4
2014-04,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3224.2
2014-05,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3231.4
2014-06,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3238.9
2014-07,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3244.6
2014-08,Canada,Alberta,Population,Both sexes,15 years and over,Estimate,Seasonally adjusted,Persons,thousands,3249.6
