Date,Year,Month,Population,Employment,Employment rate,Unemployment,Unemployment rate,Full time employment,Labour force,Part time employment,Participation rate,GDP,Inflation,Shelter occupancy,Activity index
2013-04,2013,4,3141.1,2178.5,69.4,101.2,4.4,1865.5,2279.7,313,72.6,319548.1,,122096,270.8755
2013-05,2013,5,3148.7,2199.9,69.9,105.4,4.6,1850.3,2305.2,349.6,73.2,,,122230,273.0020505
2013-06,2013,6,3155.5,2194.7,69.6,113.4,4.9,1840.8,2308.1,354,73.1,,,117540,268.1865647
2013-07,2013,7,3163.7,2202.3,69.6,103.7,4.5,1849.5,2305.9,352.8,72.9,,,121489,271.4392324
2013-08,2013,8,3170.8,2220.9,70,109.3,4.7,1854.1,2330.1,366.8,73.5,,,121489,272.9567867
2013-09,2013,9,3179,2215.5,69.7,100.5,4.3,1858,2315.9,357.5,72.8,,,118470,272.3626122
2013-10,2013,10,3185.1,2212.1,69.5,106.7,4.6,1847.8,2318.8,364.2,72.8,,,123446,275.8590964
2013-11,2013,11,3190.6,2219.3,69.6,112.6,4.8,1852.2,2331.9,367.1,73.1,,,124023,276.9338916
2013-12,2013,12,3195.3,2211.5,69.2,115.2,5,1859.2,2326.7,352.3,72.8,,,128277,275.5900238
2014-01,2014,1,3201,2214.7,69.2,108.8,4.7,1859.6,2323.5,355.1,72.6,338262.6,,130059,278.4286796
2014-02,2014,2,3207,2231,69.6,102.3,4.4,1865.4,2333.4,365.6,72.8,,,119093,278.9466597
2014-03,2014,3,3214.4,2221.1,69.1,117.6,5,1863.2,2338.7,357.9,72.8,,,132032,279.6868497
2014-04,2014,4,3224.2,2222.3,68.9,121.8,5.2,1844.9,2344.2,377.5,72.7,,,126120,283.3523141
2014-05,2014,5,3231.4,2229.4,69,113.4,4.8,1860.6,2342.9,368.8,72.5,,,121912,283.6301547
2014-06,2014,6,3238.9,2242.7,69.2,117.3,5,1881,2360.1,361.7,72.9,,,116700,286.5955766
2014-07,2014,7,3244.6,2245.9,69.2,106.3,4.5,1869.9,2352.1,375.9,72.5,,,120590,285.6415371
2014-08,2014,8,3249.6,2227,68.5,119.5,5.1,1851.2,2346.5,375.8,72.2,,,118327,283.7291025
2014-09,2014,9,3254.5,2237.6,68.8,108.4,4.6,1866.2,2346,371.4,72.1,,,116480,287.0016772
2014-10,2014,10,3257.7,2244.6,68.9,107.7,4.6,1879.3,2352.2,365.3,72.2,,,122661,286.6897669
2014-11,2014,11,3260.6,2252.3,69.1,102.8,4.4,1882.9,2355.1,369.4,72.2,,,123817,283.9149652
2014-12,2014,12,3263,2257.5,69.2,117.8,5,1887,2375.3,370.5,72.8,,,129556,284.7047495
2015-01,2015,1,3265.5,2264.5,69.3,110.9,4.7,1895.9,2375.4,368.6,72.7,326476.7,,132087,282.6970528
2015-02,2015,2,3269.1,2255.4,69,127.6,5.4,1885.7,2383,369.7,72.9,,,119965,279.8588417
2015-03,2015,3,3273.2,2247.1,68.7,136.7,5.7,1861.9,2383.9,385.2,72.8,,,133009,277.9645962
2015-04,2015,4,3277.5,2259.4,68.9,138.8,5.8,1858.7,2398.3,400.7,73.2,,,128059,275.4048259
2015-05,2015,5,3281.2,2255.6,68.7,144.3,6,1877.4,2399.8,378.2,73.1,,,124837,274.9168052
2015-06,2015,6,3285.3,2249.7,68.5,142.9,6,1877.1,2392.6,372.6,72.8,,,117840,275.6824526
2015-07,2015,7,3288.1,2250.7,68.4,147.1,6.1,1883.8,2397.7,366.8,72.9,,,121720,275.7052767
2015-08,2015,8,3290,2252.8,68.5,145.3,6.1,1878.7,2398.1,374.1,72.9,,,121663,273.3789194
2015-09,2015,9,3293,2252.3,68.4,157.9,6.6,1850.6,2410.2,401.7,73.2,,,118890,272.0077732
2015-10,2015,10,3295.1,2234.3,67.8,154.2,6.5,1834.5,2388.5,399.9,72.5,,,124117,269.106528
2015-11,2015,11,3296.9,2224.7,67.5,166.4,7,1846.5,2391.1,378.2,72.5,,,123824,269.4368133
2015-12,2015,12,3298.9,2217.4,67.2,171.5,7.2,1818.9,2388.8,398.5,72.4,,,129467,266.7928646
